CIK, Name, Date, Information Table Links, File Type, 
813470,ADVANCE_CAPITAL_I_INC,2001/8/2,/Archives/edgar/data/813470/000081347001500007/0000813470-01-500007.txt,text,
813470,ADVANCE_CAPITAL_I_INC,2001/5/10,/Archives/edgar/data/813470/000081347001500003/0000813470-01-500003.txt,text,
813470,ADVANCE_CAPITAL_I_INC,2001/2/13,/Archives/edgar/data/813470/000081347001000001/0000813470-01-000001.txt,text,
813470,ADVANCE_CAPITAL_I_INC,2000/11/13,/Archives/edgar/data/813470/000081347000000014/0000813470-00-000014.txt,text,
813470,ADVANCE_CAPITAL_I_INC,2000/8/14,/Archives/edgar/data/813470/000081347000000010/0000813470-00-000010.txt,text,
813470,ADVANCE_CAPITAL_I_INC,2000/5/30,/Archives/edgar/data/813470/000081347000000008/0000813470-00-000008.txt,text,
813470,ADVANCE_CAPITAL_I_INC,2000/2/18,/Archives/edgar/data/813470/000081347000000002/0000813470-00-000002.txt,text,
813470,ADVANCE_CAPITAL_I_INC,1999/11/12,/Archives/edgar/data/813470/000081347099000016/0000813470-99-000016.txt,text,
813470,ADVANCE_CAPITAL_I_INC,1999/7/30,/Archives/edgar/data/813470/000081347099000012/0000813470-99-000012.txt,text,
813470,ADVANCE_CAPITAL_I_INC,1999/5/12,/Archives/edgar/data/813470/0000813470-99-000010.txt,text,
1029068,ADVISORONE_FUNDS,2006/5/4,/Archives/edgar/data/1029068/000091047206000169/0000910472-06-000169.txt,text,
1029068,ADVISORONE_FUNDS,2006/4/20,/Archives/edgar/data/1029068/000091047206000145/0000910472-06-000145.txt,text,
3521,ALGER_FUNDS,2002/9/20,/Archives/edgar/data/3521/000093041302002867/0000930413-02-002867.txt,text,
3521,ALGER_FUNDS,2002/7/18,/Archives/edgar/data/3521/000093041302002284/0000930413-02-002284.txt,text,
1000207,AMERISTOCK_MUTUAL_FUND_INC,2001/4/17,/Archives/edgar/data/1000207/000075697601500049/0000756976-01-500049.txt,text,
1000207,AMERISTOCK_MUTUAL_FUND_INC,2001/1/9,/Archives/edgar/data/1000207/000075697601500008/0000756976-01-500008.txt,text,
1000207,AMERISTOCK_MUTUAL_FUND_INC,2000/1/31,/Archives/edgar/data/1000207/000075697600000013/0000756976-00-000013.txt,text,
711202,CITIZENS_FUNDS,2001/2/8,/Archives/edgar/data/711202/000091205701004358/0000912057-01-004358.txt,text,
711202,CITIZENS_FUNDS,2001/1/25,/Archives/edgar/data/711202/000091205701002820/0000912057-01-002820.txt,text,
777535,COLLEGE_RETIREMENT_EQUITIES_FUND,2002/8/12,/Archives/edgar/data/777535/000088779302000053/0000887793-02-000053.txt,text,
777535,COLLEGE_RETIREMENT_EQUITIES_FUND,2002/5/10,/Archives/edgar/data/777535/000088779302000038/0000887793-02-000038.txt,text,
777535,COLLEGE_RETIREMENT_EQUITIES_FUND,1999/5/13,/Archives/edgar/data/777535/0000887793-99-000004.txt,text,
2110,COLUMBIA_ACORN_TRUST,2005/4/13,/Archives/edgar/data/2110/000000211005000009/0000002110-05-000009.txt,text,
2110,COLUMBIA_ACORN_TRUST,2005/1/12,/Archives/edgar/data/2110/000000211005000004/0000002110-05-000004.txt,text,
2110,COLUMBIA_ACORN_TRUST,2004/11/12,/Archives/edgar/data/2110/000000211004000025/0000002110-04-000025.txt,text,
2110,COLUMBIA_ACORN_TRUST,2004/7/21,/Archives/edgar/data/2110/000000211004000021/0000002110-04-000021.txt,text,
2110,COLUMBIA_ACORN_TRUST,2004/4/27,/Archives/edgar/data/2110/000000211004000017/0000002110-04-000017.txt,text,
2110,COLUMBIA_ACORN_TRUST,2004/1/30,/Archives/edgar/data/2110/000000211004000004/0000002110-04-000004.txt,text,
2110,COLUMBIA_ACORN_TRUST,2003/10/20,/Archives/edgar/data/2110/000000211003000022/0000002110-03-000022.txt,text,
2110,COLUMBIA_ACORN_TRUST,2003/7/22,/Archives/edgar/data/2110/000000211003000016/0000002110-03-000016.txt,text,
2110,COLUMBIA_ACORN_TRUST,2003/4/22,/Archives/edgar/data/2110/000000211003000010/0000002110-03-000010.txt,text,
2110,COLUMBIA_ACORN_TRUST,2003/1/14,/Archives/edgar/data/2110/000000211003000004/0000002110-03-000004.txt,text,
2110,COLUMBIA_ACORN_TRUST,2002/10/29,/Archives/edgar/data/2110/000000211002000025/0000002110-02-000025.txt,text,
2110,COLUMBIA_ACORN_TRUST,2002/8/5,/Archives/edgar/data/2110/000000211002000019/0000002110-02-000019.txt,text,
2110,COLUMBIA_ACORN_TRUST,2002/5/2,/Archives/edgar/data/2110/000000211002000012/0000002110-02-000012.txt,text,
2110,COLUMBIA_ACORN_TRUST,2002/2/11,/Archives/edgar/data/2110/000000211002000007/0000002110-02-000007.txt,text,
2110,COLUMBIA_ACORN_TRUST,2001/11/5,/Archives/edgar/data/2110/000000211001500013/0000002110-01-500013.txt,text,
1157756,COUNTRY_MUTUAL_FUNDS_TRUST,2002/9/25,/Archives/edgar/data/1157756/000089418902001221/0000894189-02-001221.txt,text,
355437,DFA_INVESTMENT_DIMENSIONS_GROUP_INC,2001/5/18,/Archives/edgar/data/355437/000091205701516743/0000912057-01-516743.txt,text,
355437,DFA_INVESTMENT_DIMENSIONS_GROUP_INC,2001/1/25,/Archives/edgar/data/355437/000091205701002777/0000912057-01-002777.txt,text,
355437,DFA_INVESTMENT_DIMENSIONS_GROUP_INC,2000/11/2,/Archives/edgar/data/355437/000091205700046900/0000912057-00-046900.txt,text,
355437,DFA_INVESTMENT_DIMENSIONS_GROUP_INC,2000/8/29,/Archives/edgar/data/355437/000091205700039376/0000912057-00-039376.txt,text,
355437,DFA_INVESTMENT_DIMENSIONS_GROUP_INC,2000/5/5,/Archives/edgar/data/355437/000091205700021826/0000912057-00-021826.txt,text,
355437,DFA_INVESTMENT_DIMENSIONS_GROUP_INC,2000/1/27,/Archives/edgar/data/355437/000091205700002686/0000912057-00-002686.txt,text,
1002556,EMBARCADERO_FUNDS_INC,2002/7/31,/Archives/edgar/data/1002556/000089706902000535/0000897069-02-000535.txt,text,
797136,FENIMORE_ASSET_MANAGEMENT_TRUST,2013/10/10,/Archives/edgar/data/797136/000079713613000035/xslForm13F_X01/fam13f9302013.xml,xml,
917124,FIRSTHAND_FUNDS,2000/8/14,/Archives/edgar/data/917124/000095000500000907/0000950005-00-000907.txt,text,
749155,GAM_FUNDS_INC,1999/5/14,/Archives/edgar/data/749155/0000930413-99-000648.txt,text,
1432353,Global_X_Funds,2011/2/14,/Archives/edgar/data/1432353/000114420411008428/0001144204-11-008428.txt,text,
772129,GMO_TRUST,2005/11/10,/Archives/edgar/data/772129/000107261305002554/0001072613-05-002554.txt,text,
772129,GMO_TRUST,2005/7/29,/Archives/edgar/data/772129/000107261305001828/0001072613-05-001828.txt,text,
772129,GMO_TRUST,2005/5/5,/Archives/edgar/data/772129/000107261305001077/0001072613-05-001077.txt,text,
772129,GMO_TRUST,2005/1/14,/Archives/edgar/data/772129/000107261305000069/0001072613-05-000069.txt,text,
772129,GMO_TRUST,2004/11/8,/Archives/edgar/data/772129/000107261304002030/0001072613-04-002030.txt,text,
772129,GMO_TRUST,2004/10/29,/Archives/edgar/data/772129/000107261304001959/0001072613-04-001959.txt,text,
772129,GMO_TRUST,2004/7/23,/Archives/edgar/data/772129/000107261304001375/0001072613-04-001375.txt,text,
772129,GMO_TRUST,2004/4/7,/Archives/edgar/data/772129/000107261304000760/0001072613-04-000760.txt,text,
772129,GMO_TRUST,2004/1/16,/Archives/edgar/data/772129/000107261304000038/0001072613-04-000038.txt,text,
772129,GMO_TRUST,2003/10/15,/Archives/edgar/data/772129/000107261303001636/0001072613-03-001636.txt,text,
772129,GMO_TRUST,2003/7/11,/Archives/edgar/data/772129/000107261303001096/0001072613-03-001096.txt,text,
772129,GMO_TRUST,2003/4/15,/Archives/edgar/data/772129/000107261303000606/0001072613-03-000606.txt,text,
772129,GMO_TRUST,2003/1/17,/Archives/edgar/data/772129/000107261303000078/0001072613-03-000078.txt,text,
772129,GMO_TRUST,2002/10/30,/Archives/edgar/data/772129/000107261302001614/0001072613-02-001614.txt,text,
772129,GMO_TRUST,2002/10/18,/Archives/edgar/data/772129/000107261302001563/0001072613-02-001563.txt,text,
772129,GMO_TRUST,2002/7/24,/Archives/edgar/data/772129/000107261302001105/0001072613-02-001105.txt,text,
772129,GMO_TRUST,2002/5/2,/Archives/edgar/data/772129/000107261302000727/0001072613-02-000727.txt,text,
772129,GMO_TRUST,2002/2/1,/Archives/edgar/data/772129/000107261302000106/0001072613-02-000106.txt,text,
772129,GMO_TRUST,2002/1/7,/Archives/edgar/data/772129/000107261302000010/0001072613-02-000010.txt,text,
772129,GMO_TRUST,2001/11/1,/Archives/edgar/data/772129/000107261301501006/0001072613-01-501006.txt,text,
772129,GMO_TRUST,2001/8/3,/Archives/edgar/data/772129/000107261301500745/0001072613-01-500745.txt,text,
772129,GMO_TRUST,2001/5/3,/Archives/edgar/data/772129/000107261301500488/0001072613-01-500488.txt,text,
772129,GMO_TRUST,2001/1/29,/Archives/edgar/data/772129/000107261301500052/0001072613-01-500052.txt,text,
772129,GMO_TRUST,2000/10/13,/Archives/edgar/data/772129/000107261300000923/0001072613-00-000923.txt,text,
772129,GMO_TRUST,2000/7/14,/Archives/edgar/data/772129/000107261300000728/0001072613-00-000728.txt,text,
772129,GMO_TRUST,2000/5/16,/Archives/edgar/data/772129/000107261300000643/0001072613-00-000643.txt,text,
772129,GMO_TRUST,2000/2/10,/Archives/edgar/data/772129/000107261300000066/0001072613-00-000066.txt,text,
772129,GMO_TRUST,1999/11/15,/Archives/edgar/data/772129/000107261399000244/0001072613-99-000244.txt,text,
772129,GMO_TRUST,1999/11/12,/Archives/edgar/data/772129/000107261399000216/0001072613-99-000216.txt,text,
772129,GMO_TRUST,1999/8/3,/Archives/edgar/data/772129/000107261399000086/0001072613-99-000086.txt,text,
772129,GMO_TRUST,1999/8/3,/Archives/edgar/data/772129/000107261399000085/0001072613-99-000085.txt,text,
772129,GMO_TRUST,1999/5/11,/Archives/edgar/data/772129/0000950135-99-002531.txt,text,
772129,GMO_TRUST,1999/5/11,/Archives/edgar/data/772129/0000950135-99-002530.txt,text,
